ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	468	0	1	0.000000	45.485043	35.119658	0.000000	0.000000	0	90	0
2	164	2	1	0.000000	60.981707	39.579268	0.000000	0.000000	0	78	0
3	607	3	1	0.000000	42.570016	31.181219	0.000000	0.000000	0	168	0
4	1911	0	1	0.000000	40.324437	30.644689	0.000000	0.000000	0	315	0
5	284	1	1	0.000000	48.390845	39.827465	0.000000	0.000000	0	70	0
6	1255	2	1	0.000000	43.731474	33.001594	0.000000	0.000000	0	254	0
7	116	0	0	0.000000	44.181034	29.663793	0.000000	0.000000	0	84	0
8	29	0	0	0.000000	87.482759	74.517241	0.000000	0.000000	0	59	0
9	1509	1	2	0.000000	44.398940	14.291584	0.000000	0.000000	0	307	0
10	331	2	1	0.000000	37.552870	26.791541	0.000000	0.000000	0	72	0
11	204	1	2	0.000000	38.318627	30.196078	0.000000	0.000000	0	52	0
12	14	1	1	0.000000	45.857143	11.428571	0.000000	0.000000	0	21	0
13	1	2	2	0.000000	126.000000	56.000000	0.000000	0.000000	0	33	0
14	94	1	1	0.000000	62.670213	43.755319	0.000000	0.000000	0	55	0
15	1	2	0	0.000000	98.000000	41.000000	0.000000	0.000000	0	45	0
16	424	1	1	0.000000	42.490566	25.391509	0.000000	0.000000	0	117	0
17	13	1	1	0.000000	35.769231	30.538462	0.000000	0.000000	0	23	0
18	8	2	2	0.000000	78.375000	40.375000	0.000000	0.000000	0	41	0
19	3	1	1	0.000000	41.666667	27.666667	0.000000	0.000000	0	23	0
20	1	2	2	0.000000	118.000000	47.000000	0.000000	0.000000	0	59	0
21	98	1	1	0.000000	42.714286	31.663265	0.000000	0.000000	0	33	0
22	39	1	0	0.000000	36.307692	28.051282	0.000000	0.000000	0	28	0
23	1	2	2	0.000000	77.000000	36.000000	0.000000	0.000000	0	22	0
24	2	1	1	0.000000	35.000000	35.000000	0.000000	0.000000	0	21	0
25	2	0	2	0.000000	87.500000	34.000000	0.000000	0.000000	0	28	0
26	3	2	2	0.000000	69.333333	11.000000	0.000000	0.000000	0	23	0
27	1	2	2	0.000000	94.000000	2.000000	0.000000	0.000000	0	26	0
28	2	2	0	0.000000	73.000000	2.000000	0.000000	0.000000	0	22	0
